"Name","FullName","DirectoryName","Length","LastWriteTime"
"ADR_0001_MODULAR_TYPE_ARCHITECTURE.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR_0001_MODULAR_TYPE_ARCHITECTURE.md","E:\home\ProjeDoc_FINAL\architecture\adr","729","13.09.2026 11:05:31"
"ADR_0002_DOMAIN_MODEL_MEANING_GROUP.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR_0002_DOMAIN_MODEL_MEANING_GROUP.md","E:\home\ProjeDoc_FINAL\architecture\adr","783","13.09.2026 11:05:31"
"ADR_0003_ITRANSLATIONREPOSITORY_SEPARATION.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR_0003_ITRANSLATIONREPOSITORY_SEPARATION.md","E:\home\ProjeDoc_FINAL\architecture\adr","689","13.09.2026 11:05:31"
"ADR_0009_DIALECT_NAMING_STANDARD.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR_0009_DIALECT_NAMING_STANDARD.md","E:\home\ProjeDoc_FINAL\architecture\adr","462","17.09.2026 14:54:27"
"ADR_0014_CONCEPT_NETWORK_PROJECTION.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR_0014_CONCEPT_NETWORK_PROJECTION.md","E:\home\ProjeDoc_FINAL\architecture\adr","1904","13.09.2026 11:05:32"
"ADR_DECISIONS_SUMMARY.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR_DECISIONS_SUMMARY.md","E:\home\ProjeDoc_FINAL\architecture\adr","1017","18.09.2026 23:25:01"
"ADR-0005-TRANSLATIONGROUP_STRATEGY.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0005-TRANSLATIONGROUP_STRATEGY.md","E:\home\ProjeDoc_FINAL\architecture\adr","984","11.09.2026 13:58:52"
"ADR-0006-CROSS_DICTIONARY_MATCHING.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0006-CROSS_DICTIONARY_MATCHING.md","E:\home\ProjeDoc_FINAL\architecture\adr","1154","11.09.2026 13:58:52"
"ADR-0007-TRANSLATIONREPOSITORY_CONTRACT.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0007-TRANSLATIONREPOSITORY_CONTRACT.md","E:\home\ProjeDoc_FINAL\architecture\adr","1470","11.09.2026 13:58:52"
"ADR-0008-TRANSLATIONMEANING_REPRESENTATION.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0008-TRANSLATIONMEANING_REPRESENTATION.md","E:\home\ProjeDoc_FINAL\architecture\adr","623","8.09.2026 21:32:48"
"ADR-0009-CONCEPT_IDENTITY_STRATEGY.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0009-CONCEPT_IDENTITY_STRATEGY.md","E:\home\ProjeDoc_FINAL\architecture\adr","758","11.09.2026 13:58:52"
"ADR-0010-CONCEPT_REPOSITORY.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0010-CONCEPT_REPOSITORY.md","E:\home\ProjeDoc_FINAL\architecture\adr","7602","13.09.2026 15:15:44"
"ADR-0011-MEANING_GRAPH_BOOTSTRAP.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0011-MEANING_GRAPH_BOOTSTRAP.md","E:\home\ProjeDoc_FINAL\architecture\adr","6900","13.09.2026 15:16:02"
"ADR-0012-REAL_KNOWLEDGE_DISCOVERY_ASSEMBLY.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0012-REAL_KNOWLEDGE_DISCOVERY_ASSEMBLY.md","E:\home\ProjeDoc_FINAL\architecture\adr","8899","13.09.2026 15:16:19"
"ADR-0013-QUERY_SEMANTIC_MAPPING.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0013-QUERY_SEMANTIC_MAPPING.md","E:\home\ProjeDoc_FINAL\architecture\adr","4383","8.09.2026 21:32:48"
"ADR-0015-TRANSLATIONENTRY_CANONICAL_IDENTITY.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0015-TRANSLATIONENTRY_CANONICAL_IDENTITY.md","E:\home\ProjeDoc_FINAL\architecture\adr","1489","16.09.2026 18:49:10"
"ADR-0016  Phase 3-7 Modüllerinin Dondurulması ve Test İzolasyonu.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0016  Phase 3-7 Modüllerinin Dondurulması ve Test İzolasyonu.md","E:\home\ProjeDoc_FINAL\architecture\adr","674","17.09.2026 11:57:58"
"ADR-0016-Phase3-7-Dondurma-SUPERSEDED.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-0016-Phase3-7-Dondurma-SUPERSEDED.md","E:\home\ProjeDoc_FINAL\architecture\adr","320","18.09.2026 23:25:00"
"ADR-ADR_0004_SERVER_ACTIONS_ASYNC_SAFETY.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-ADR_0004_SERVER_ACTIONS_ASYNC_SAFETY.md","E:\home\ProjeDoc_FINAL\architecture\adr","2535","13.09.2026 11:05:31"
"ADR-P4-001-PHASE4_ACTIVATION.md","E:\home\ProjeDoc_FINAL\architecture\adr\ADR-P4-001-PHASE4_ACTIVATION.md","E:\home\ProjeDoc_FINAL\architecture\adr","249","18.09.2026 23:25:00"
"README.md","E:\home\ProjeDoc_FINAL\architecture\adr\README.md","E:\home\ProjeDoc_FINAL\architecture\adr","2517","13.09.2026 16:38:24"
"0001-moduler-tip-mimarisi.md","E:\home\ProjeDoc_FINAL\architecture\specs\0001-moduler-tip-mimarisi.md","E:\home\ProjeDoc_FINAL\architecture\specs","816","13.09.2026 01:46:23"
"0003-itranslationrepository-veri-erisim-ayrisimi.md","E:\home\ProjeDoc_FINAL\architecture\specs\0003-itranslationrepository-veri-erisim-ayrisimi.md","E:\home\ProjeDoc_FINAL\architecture\specs","820","13.09.2026 01:35:38"
"ARCHITECTURE.md","E:\home\ProjeDoc_FINAL\architecture\ARCHITECTURE.md","E:\home\ProjeDoc_FINAL\architecture","12337","14.09.2026 14:14:37"
"DEPLOYMENT_GUIDE.md","E:\home\ProjeDoc_FINAL\architecture\DEPLOYMENT_GUIDE.md","E:\home\ProjeDoc_FINAL\architecture","486","13.09.2026 10:43:51"
"ENGINEERING_CONSTITUTION.md","E:\home\ProjeDoc_FINAL\architecture\ENGINEERING_CONSTITUTION.md","E:\home\ProjeDoc_FINAL\architecture","1203","11.09.2026 16:31:41"
"ONTOLOGY_SYSTEM.md","E:\home\ProjeDoc_FINAL\architecture\ONTOLOGY_SYSTEM.md","E:\home\ProjeDoc_FINAL\architecture","1983","13.09.2026 01:56:13"
"PHASE_GATES.md","E:\home\ProjeDoc_FINAL\architecture\PHASE_GATES.md","E:\home\ProjeDoc_FINAL\architecture","5324","13.09.2026 01:53:49"
"PHASES.md","E:\home\ProjeDoc_FINAL\architecture\PHASES.md","E:\home\ProjeDoc_FINAL\architecture","1271","12.09.2026 15:51:21"
"TEAM_STRUCTURE.md","E:\home\ProjeDoc_FINAL\architecture\TEAM_STRUCTURE.md","E:\home\ProjeDoc_FINAL\architecture","571","13.09.2026 10:43:51"
"TECHNICAL_ARCHITECTURE_GUIDE.md","E:\home\ProjeDoc_FINAL\architecture\TECHNICAL_ARCHITECTURE_GUIDE.md","E:\home\ProjeDoc_FINAL\architecture","10102","22.08.2026 20:40:12"
"CERTIFICATION_HISTORY_ARCHIVE.md","E:\home\ProjeDoc_FINAL\certification\CERTIFICATION_HISTORY_ARCHIVE.md","E:\home\ProjeDoc_FINAL\certification","355","11.09.2026 13:58:50"
"CERTIFICATION_PHASE_01_FOUNDATION.md","E:\home\ProjeDoc_FINAL\certification\CERTIFICATION_PHASE_01_FOUNDATION.md","E:\home\ProjeDoc_FINAL\certification","373","13.09.2026 10:43:51"
"CERTIFICATION_PHASE_02_DICTIONARY.md","E:\home\ProjeDoc_FINAL\certification\CERTIFICATION_PHASE_02_DICTIONARY.md","E:\home\ProjeDoc_FINAL\certification","395","13.09.2026 10:43:51"
"ENTERPRISE_PLATFORM_STATUS.md","E:\home\ProjeDoc_FINAL\certification\ENTERPRISE_PLATFORM_STATUS.md","E:\home\ProjeDoc_FINAL\certification","2460","8.09.2026 21:32:48"
"PHASE_10_0_PRODUCTION_CERTIFICATION.md","E:\home\ProjeDoc_FINAL\certification\PHASE_10_0_PRODUCTION_CERTIFICATION.md","E:\home\ProjeDoc_FINAL\certification","918","8.09.2026 21:32:48"
"PHASE_2_CLOSURE_REVIEW_REPORT.md","E:\home\ProjeDoc_FINAL\certification\PHASE_2_CLOSURE_REVIEW_REPORT.md","E:\home\ProjeDoc_FINAL\certification","8287","1.09.2026 12:53:23"
"PHASE_6_1_STATUS.md","E:\home\ProjeDoc_FINAL\certification\PHASE_6_1_STATUS.md","E:\home\ProjeDoc_FINAL\certification","1268","11.09.2026 13:58:50"
"PHASE_6_2_STATUS.md","E:\home\ProjeDoc_FINAL\certification\PHASE_6_2_STATUS.md","E:\home\ProjeDoc_FINAL\certification","1453","11.09.2026 13:45:53"
"PROJECT_STATUS.md","E:\home\ProjeDoc_FINAL\certification\PROJECT_STATUS.md","E:\home\ProjeDoc_FINAL\certification","1555","13.09.2026 18:23:10"
"0002-domain-model-meaning-group-standartlasmasi.md","E:\home\ProjeDoc_FINAL\domain\0002-domain-model-meaning-group-standartlasmasi.md","E:\home\ProjeDoc_FINAL\domain","806","13.09.2026 01:35:38"
"MASTER_GOVERNANCE_FRAMEWORK.md","E:\home\ProjeDoc_FINAL\domain\MASTER_GOVERNANCE_FRAMEWORK.md","E:\home\ProjeDoc_FINAL\domain","110","11.09.2026 16:31:41"
"MASTER_ONTOLOGY_SYSTEM.md","E:\home\ProjeDoc_FINAL\domain\MASTER_ONTOLOGY_SYSTEM.md","E:\home\ProjeDoc_FINAL\domain","142","11.09.2026 16:31:41"
"AGENTS.md","E:\home\ProjeDoc_FINAL\governance\AGENTS.md","E:\home\ProjeDoc_FINAL\governance","155","18.09.2026 23:23:20"
"CLAUDE.md","E:\home\ProjeDoc_FINAL\governance\CLAUDE.md","E:\home\ProjeDoc_FINAL\governance","11","14.08.2026 19:00:39"
"CONSTITUTION.md","E:\home\ProjeDoc_FINAL\governance\CONSTITUTION.md","E:\home\ProjeDoc_FINAL\governance","785","13.09.2026 10:43:51"
"DECISIONS.md","E:\home\ProjeDoc_FINAL\governance\DECISIONS.md","E:\home\ProjeDoc_FINAL\governance","331","18.09.2026 23:23:20"
"GEMSA_FRAMEWORK.md","E:\home\ProjeDoc_FINAL\governance\GEMSA_FRAMEWORK.md","E:\home\ProjeDoc_FINAL\governance","597","13.09.2026 10:43:51"
"INDEX.md","E:\home\ProjeDoc_FINAL\governance\INDEX.md","E:\home\ProjeDoc_FINAL\governance","255","11.09.2026 16:31:41"
"PHASE3_COMPLETION_REPORT.md","E:\home\ProjeDoc_FINAL\governance\PHASE3_COMPLETION_REPORT.md","E:\home\ProjeDoc_FINAL\governance","467","18.09.2026 21:38:01"
"PHASE4_BOOTSTRAP.md","E:\home\ProjeDoc_FINAL\governance\PHASE4_BOOTSTRAP.md","E:\home\ProjeDoc_FINAL\governance","183","18.09.2026 21:38:01"
"PHASE4_MEMORY.md","E:\home\ProjeDoc_FINAL\governance\PHASE4_MEMORY.md","E:\home\ProjeDoc_FINAL\governance","1976","18.09.2026 23:25:46"
"PHASES.md","E:\home\ProjeDoc_FINAL\governance\PHASES.md","E:\home\ProjeDoc_FINAL\governance","807","13.09.2026 10:43:51"
"PROJECT_MEMORY.md","E:\home\ProjeDoc_FINAL\governance\PROJECT_MEMORY.md","E:\home\ProjeDoc_FINAL\governance","2276","18.09.2026 21:41:33"
"PROJECT_STATUS.md","E:\home\ProjeDoc_FINAL\governance\PROJECT_STATUS.md","E:\home\ProjeDoc_FINAL\governance","242","18.09.2026 23:23:20"
"PROJECT_SUMMARY.md","E:\home\ProjeDoc_FINAL\governance\PROJECT_SUMMARY.md","E:\home\ProjeDoc_FINAL\governance","8924","13.09.2026 18:26:34"
"README.md","E:\home\ProjeDoc_FINAL\governance\README.md","E:\home\ProjeDoc_FINAL\governance","277","18.09.2026 21:38:01"
"ROADMAP.md","E:\home\ProjeDoc_FINAL\governance\ROADMAP.md","E:\home\ProjeDoc_FINAL\governance","252","18.09.2026 23:23:20"
"SYSTEM_INVENTORY.md","E:\home\ProjeDoc_FINAL\governance\SYSTEM_INVENTORY.md","E:\home\ProjeDoc_FINAL\governance","589","13.09.2026 10:43:51"
"word-family-gha.md","E:\home\ProjeDoc_FINAL\linguistics\word-families\word-family-gha.md","E:\home\ProjeDoc_FINAL\linguistics\word-families","547301","30.08.2026 14:23:32"
"word-family-shhye.md","E:\home\ProjeDoc_FINAL\linguistics\word-families\word-family-shhye.md","E:\home\ProjeDoc_FINAL\linguistics\word-families","2598","30.08.2026 14:32:35"
"001-translation-entry.md","E:\home\ProjeDoc_FINAL\linguistics\001-translation-entry.md","E:\home\ProjeDoc_FINAL\linguistics","447","30.08.2026 11:43:07"
"002-derivational-prefixes.md","E:\home\ProjeDoc_FINAL\linguistics\002-derivational-prefixes.md","E:\home\ProjeDoc_FINAL\linguistics","3955","30.08.2026 15:46:47"
"002-translation-group.md","E:\home\ProjeDoc_FINAL\linguistics\002-translation-group.md","E:\home\ProjeDoc_FINAL\linguistics","330","30.08.2026 11:43:38"
"003-cross-dictionary-matcher.md","E:\home\ProjeDoc_FINAL\linguistics\003-cross-dictionary-matcher.md","E:\home\ProjeDoc_FINAL\linguistics","288","30.08.2026 11:44:00"
"003-locative-preverbs.md","E:\home\ProjeDoc_FINAL\linguistics\003-locative-preverbs.md","E:\home\ProjeDoc_FINAL\linguistics","1389","30.08.2026 18:50:54"
"004-orthographic-normalization.md","E:\home\ProjeDoc_FINAL\linguistics\004-orthographic-normalization.md","E:\home\ProjeDoc_FINAL\linguistics","255","30.08.2026 11:44:21"
"005-morphology-observations.md","E:\home\ProjeDoc_FINAL\linguistics\005-morphology-observations.md","E:\home\ProjeDoc_FINAL\linguistics","4704","30.08.2026 22:16:49"
"006-word-families.md","E:\home\ProjeDoc_FINAL\linguistics\006-word-families.md","E:\home\ProjeDoc_FINAL\linguistics","6822","30.08.2026 21:57:23"
"analysis-003-translation-candidates.md","E:\home\ProjeDoc_FINAL\linguistics\analysis-003-translation-candidates.md","E:\home\ProjeDoc_FINAL\linguistics","83","30.08.2026 13:41:15"
"analysis-005-dialect-variants.md","E:\home\ProjeDoc_FINAL\linguistics\analysis-005-dialect-variants.md","E:\home\ProjeDoc_FINAL\linguistics","182","11.09.2026 13:58:52"
"SOFTWARE_INVENTORY.md","E:\home\ProjeDoc_FINAL\metrics\SOFTWARE_INVENTORY.md","E:\home\ProjeDoc_FINAL\metrics","945","13.09.2026 01:56:13"
"TECHNICAL_METRICS.md","E:\home\ProjeDoc_FINAL\metrics\TECHNICAL_METRICS.md","E:\home\ProjeDoc_FINAL\metrics","534","13.09.2026 10:43:51"
"PHASE 2 CLOSURE REVIEW REPORT - Tamamlama Raporu.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PHASE 2 CLOSURE REVIEW REPORT - Tamamlama Raporu.md","E:\home\ProjeDoc_FINAL\phases-roadmap","2556","13.09.2026 14:26:09"
"PHASE 3 EXECUTION PLAN - Yürütme Planı.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PHASE 3 EXECUTION PLAN - Yürütme Planı.md","E:\home\ProjeDoc_FINAL\phases-roadmap","1789","13.09.2026 14:26:25"
"PHASE 3 MIGRATION PLAN - Geçiş Planı.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PHASE 3 MIGRATION PLAN - Geçiş Planı.md","E:\home\ProjeDoc_FINAL\phases-roadmap","1308","13.09.2026 14:26:36"
"PHASE 3 READINESS PLAN - Hazırlık Planı.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PHASE 3 READINESS PLAN - Hazırlık Planı.md","E:\home\ProjeDoc_FINAL\phases-roadmap","784","13.09.2026 14:26:41"
"PHASE 3 UNLOCK REVIEW - Kilit Açma İncelemesi.md","E:\home\ProjeDoc_FINAL\phases-roadmap\PHASE 3 UNLOCK REVIEW - Kilit Açma İncelemesi.md","E:\home\ProjeDoc_FINAL\phases-roadmap","1578","13.09.2026 14:26:54"
